name,role_raw,n_mentions,n_docs
Drahoslav RYBA,generální ředitel,126,2
Josef VOJÁČEK,generální ředitel,110,6
Jaroslav MÍL,vládní zmocněnec pro jadernou energetiku,100,5
Robert FULGHUM,americký spisovatel,72,1
Radek MÁTL,generální ředitel,70,2
Angela MERKELOVÁ,německá kancléřka,69,58
Václav BARTUŠKA,zvláštní zmocněnec pro energetickou bezpečnost,66,1
Jane GOODALLOVÁ,britská primatoložka,62,2
António GUTERRES,generální tajemník,61,56
Daniel SZÓRÁD,generální ředitel,44,7
Daniel BENEŠ,generální ředitel předseda představenstva,42,1
Daniel BENEŠ,generální ředitel,42,4
Milan KŘÍSTEK,generální ředitel,38,1
Petr HORKÝ,cestovatel režisér,37,1
Adolf ŠLÁR,praktikuje očistné kúry učitel z,36,1
Vilma PARTYKOVÁ,propaguje hladovku a léčbu urinoterapií,35,1
Heřman ČADIL,kouč zdravého životního stylu,34,1
Petr KUBALA,generální ředitel,32,2
Kateřina CAJTHAMLOVÁ,internistka psychoterapeutka odbornice na výživu,27,1
Miloš MENDEL,arabista islamolog,27,1
Michaela VALACHOVÁ,hydrometeoroložka,27,1
David ČERMÁK,generální ředitel,26,1
Martin PAVEL,zpracovatel studie kanálu,23,1
Martin TOPINKA,astrofyzik,21,1
Ladislav MACHALA,infekcionista infekční klinika,20,1
Hynek BLAŠKO,generálmajor ve výslužbě,20,1
Pavel PUNČOCHÁŘ,sekce vodního hospodářství,19,2
Pan KI MUN,generální tajemník,19,17
Lumír NĚMEC,bývalý velitel speciálního oddělení,19,1
Traian URBAN,hispanista,18,2
Václav BĚLOHRADSKÝ,filosof a sociolog,18,1
Ivanna ILLYENKO,emeritní sólistka baletu,17,1
Jaroslav ŠTEFEC,exředitel,17,1
Martin KLOZ,konzultant v oblasti energetiky,17,1
Pavel PODRUH,laureát ceny,17,1
Martin LEIŠ,spolumajitel penzionu na,17,1
Ondřej HEJMA,amerikanista publicista hudebník,16,1
Barbara WINTONOVÁ,dcera,16,1
Petr ŠÍPEK,entomolog katedra zoologie,16,2
Milan KNÍŽÁK,výtvarník bývalý ředitel,15,1
Lubomír HAŠLÍK,operující lékař,15,1
Vladimír BAAR,politický a kulturní geograf,14,1
Tomáš HAAS,politický konzultant bývalý poradce,14,1
Pavel KRČ,oddělení složitých systémů,14,1
Pavel KALENDA,seismolog a klimaskeptik,14,1
Petra JELÍNKOVÁ,předkladatelka aktivistka hnutí,14,1
Petr PITHART,expremiér bývalý předseda,13,1
Vladimír VLČEK,generální ředitel,13,1
Tomáš HRNČÍŘ,motoristický novinář,13,1
Zbyněk HRKAL,hydrogeolog,13,1
Karel MATĚJKA,botanik a ekolog vědecká platforma,12,2
Vítězslav KREMLÍK,překladatel klimaskeptik z,12,1
Daniel PITEK,soukromý sedlák a lesník,12,1
Martina JURIGOVÁ,zdravotní sestra,12,1
Martin MARGOLD,geomorfolog,12,2
Lesy ČR,živě,12,1
Dana FEMINOVÁ,organizace,11,1
Tomáš HAAS,politický konzultant publicista,11,1
Ota MACHÁČEK,výčepní restaurace,11,1
Václav BARTUŠKA,zvláštní zmocněnec pro otázky energetické,11,1
Richard FRANC,velitel jednotky,11,1
Michal ŠNOBR,energetický analytik,11,1
Pavel PAFKO,emeritní přednosta,11,1
Tomáš NAHODIL,advokát,11,1
Karel SCHWARZENBERG,čestný předseda strany,10,1
Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,10,1
Marek BABISZ,místostarosta obce,10,1
Dušan MULÍČEK,dramaturg,10,1
Antonio GUTERRES,generální tajemník,10,8
Jakub LUDVÍK,umělecký fotograf fotí modelky do,10,1
Věra JOUROVÁ,eurokomisařka,10,6
Michal LUKEŠ,generální ředitel,10,1
Filip KOUBEK,spolupracovník,10,2
Martin SAITZ,generální ředitel,10,2
Aleš FARDA,oddělení klimatického modelování,10,1
Pavel PEŠEK,učitel z,10,1
Marcela VLADAŘOVÁ,k anorexii ji přivedl zdravý,9,1
Zdeněk KOVÁŘÍK,nový místostarosta,9,1
Ondřej JONÁŠ,investiční bankéř,9,2
Slavomír GOGA,chargé d affaires v,9,1
Greta THUNBERGOVÁ,švédska ekologická aktivistka,9,9
Benjamin SCHIFRES,obchodní analytik vedoucí české bobočky,9,1
Barbora CHATTOVÁ,algoložka,9,1
Tereza AUBRECHTOVÁ,doktorandka,9,2
Tomáš NEŘOLD,pověřen vedením samostatného oddělení,9,1
Karel DRBAL,hydrogeolog,9,1
Libor JANEČKA,pěstitel brambor,9,2
Karel KOVÁŘ,alias,9,1
Linda NEDBALOVÁ,hydrobioložka,9,2
Petr ŠTĚPÁNEK,exstarosta a zastupitel,9,1
Martin BARRY,architekt ředitel festivalu reSITE,9,1
Kristina LARISCHOVÁ,generální konzulka,9,1
Kyriakos MITSOTAKIS,řecký premiér,9,7
Alexandra BERNARDOVÁ,botanička,9,3
Miloš VONDRUŠKA,pražský včelař,9,1
Martin KUBA,jihočeský hejtman a předseda,9,1
Pavel PUNČOCHÁŘ,sekce vodního hospodářství ministerstvo zemědělství,8,1
Petr LEYER,právník,8,1
Hnutí DUHA,jejich výzvu podepsalo,8,1
Miroslava NERADOVÁ,organizátorka petice proti zákazu kouření,8,1
Kateřina FERENČÍKOVÁ,spolupracovnice,8,1
Františka ČÍŽKOVÁ,módní kritička,8,1
Bronislav BECHNÍK,redakce obnovitelných energií,8,1
Petr MÁRA,youtuber,8,1
Jan KRAJHANZL,sociální a environmentální psycholog,8,1
Donald TRUMP,republikánský kandidát na prezidenta,8,8
Nemeškalová ROSINOVÁ,právnička,8,2
Petr ŠÍPEK,entomolog,8,1
Josef SOUKUP,agroekolog fakulta agrobiologie,8,1
Bjorn LOMBORG,dánský statistik,8,1
Ivan HLADÍK,pracuje se seniory,8,1
Andrej BABIŠ,český premiér,8,5
Michal PAVLÁSEK,dobrovolník etnolog,7,1
Jan VEVERA,přednosta,7,1
Jan CZUDEK,generální ředitel,7,4
Katrín JAKOBSDÓTTIROVÁ,islandská premiérka,7,5
Petr HAVEL,zemědělský analytik,7,1
Jiří SLOVÁČEK,hraboši poškozený zemědělec ze,7,1
Kateřina OSIČKOVÁ,týmová lídryně dobrovolníci organizace,7,1
Joan CLOS,generální tajemník,7,1
Jan RŮŽIČKA,mikrobiolog,7,1
Josef HÁJEK,odborný asistent,7,1
Martin SALAJKA,letecký publicista,7,1
Zdeněk ŽALUD,pedagog a vědec,7,1
Zdeněk KALVACH,geriatr předseda správní rady,7,1
Pavel PUNČOCHÁŘ,vrchní rada sekce vodního hospodářství,7,1
Karolína FARSKÁ,organizátorka iniciativy,7,1
Lukáš KAUCKÝ,český velvyslanec v,7,1
Yngvar BRENNA,spolupracovník,7,1
David ČERNÝ,etik filozof,7,1
Tomáš POSPÍŠIL,pověřený řízením podniku,7,2
Vědunka LUNARDI,spolupracovnice,7,1
Bronislav KVASNIČKA,generální ředitel výzkumná agentura,7,1
Brna ODS,živě,7,1
