article_id,name,role_raw,type_final,gender_final,stance,conf,segment
2012E026A074,Radan HUTH,odborník na klimatické analýzy a,M3,M,S6,3,na klimatické analýzy a modelování PřF UK Méně se bude teplota měnit v tropických oblastech a obecně se očekává že více porostou teploty nad kontinenty než nad oceány. redaktor Jean Jouzel francouzský klimatolog Nebude dostatek srážek kolem celého Středozemního moře. To samozřejmě způsobí škody pro všechny země na pobřeží západní Evropa a vůbec všechny státy pocítí změny i když jinak než například Afrika kterou zasáhne akutní nedostatek vody.
2012E022A048,Václav KLAUS,prezident,M6,M,S1,3,České republiky Ale prosím opravdu jednu otázku a jednu odpověď ano? Je to jasné? Ne žádnou velkou debatu. Miroslav KORECKÝ Týden Nedivme se ale prezidentovi tento týden odletěl do Saúdské Arábie a jak sám napsal do svého deníčku těšil se tam za teplem. Ale ouha Už to není co to bývalo píše hlava státu a pokračuje dnes bylo v Rijádu 18 C a v noci má být jen 8 C. Potřebovalo by to trošku přidat CO2 a Zemi oteplit. Tak vida stačí chvíle kdy prezidenta zebou nohy a ještě rád přitakává teorii o globálním oteplování. Jinak se zdá že s novým rokem přišlo oteplení do celé české politiky a vydělal na tom David Rath který unikl trestu za svůj další šrapnel. Hejtman a poslanec ČSSD označil svého rivala z ODS Petra Bendla za užitečného idiota. Mandátový a imunitní výbor který Ratha už dříve potrestal za zmínky o alkoholismu ministra Kalouska byl ale tentokrát milosrdný. Marek BENDA ODS To je trošku novoroční atmosféra že chceme být na sebe hodní trochu víra v to že se možná věci ve sněmovně budou zlepšovat samy od sebe že nemusí být stále těmi kárajícími tatínky. Miroslav KORECKÝ Týden A zatímco jinde v politice se rozlévá
2012E014A004,Petr DOBROVOLNÝ,ředitel,M5,M,S0,3,Geografického ústavu Masarykova univerzita Dlouhodobě se zabýváme takzvanou historickou klimatologií což je část klimatologie která se snaží rekonstruovat klima na základě takzvaných dokumentárních pramenů což jsou prameny písemné povahy většinou které nacházíme v archivech ve starých novinách. Jsou jakýmsi doplňkem takzvaným přírodním archivům kdy každý možná slyšel o rekonstrukci klimatu na základě třeba letokruhů stromů.
2012E014A004,Hubert VALÁŠEK,vedoucí oddělení pro předarchivní péči,M5,M,S0,3,oddělení pro předarchivní péči Moravský zemský archiv U nás se objevují první záznamy o těch živelných katastrofách anebo špatném počasí tak od poloviny nebo po polovině 17. století to znamená po třicetiletých válkách. Ty prameny jsou většinou narativní to znamená jsou psány nějakými písmáky úředníky kteří pracovali na těch panstvích a podobně. A ti zaznamenávali vždycky ad hoc pro tu danou příležitost co se odehrálo jak velké škody na tom panství vznikly.
2012E011A076,Allison MACFARLANOVÁ,odborný časopis pro jaderné vědce,M3,F,S0,2,časopis pro jaderné vědce Před dvěma lety to vypadalo že se světový vůdci budou zabývat opravdovými globálními hrozbami. V mnoha případech tento trend nepokračoval nebo se obrátil.
2012E027T121,Alvin SMITH,vynálezce zařízení,M2,M,S4,2,zařízení Bude vyrábět elektřinu kdykoliv když přes něj půjdou vlny větší než půl metru. Pokud přitom budete vodu tankovat do zásobníku můžete z ní energii čerpat kdykoliv budete chtít. redaktorka Prototyp má velikost menší bójky. Skutečné zařízení které na výrobu ve velkém teprve čeká je kvůli výkonu zhruba 13 násobě větší. Zájem o něj už projevilo britské ministerstvo pro klimatické změny. redaktor citace
2012E027T121,Greg BARKER,britský ministr pro klimatické změny,M6,M,S4,2,ministr pro klimatické změny Tímto způsobem bychom se mohli dostat až na celkový výkon 27 gigawatt hodiny. Na výrobu stejného objemu je potřeba 8 jaderných elektráren. redaktorka Cena energie z mořských vln má být až 5 krát nižší v porovnání s elektřinou z uhlí a jádra. A 8 krát levnější než z větrné elektrárny. redaktor citace
2012E027T121,Dale VINCE,ekologická firma,M5,F,S5,2,firma Ecotricity Zásoby fosilních paliv se celkově zmenšují a ceny za ně rostou. Obnovitelná energie naopak zlevňuje a někdy v budoucnu převezme trh. Tahle technologie může změnu na trhu ještě urychlit. redaktorka Podstatná část elektřiny ve Velké Británii stále pochází z neobnovitelných zdrojů. Vodní a větrné energii přitom loni patřilo půl procenta trhu. Poptávka po čistším řešení je ale vysoká a searaser by mohl stát v čele další vlny tohoto vývoje. Na trh má vstoupit už za dva roky.
2012E021T030,Irena PETRÁSKOVÁ,provozovatelka penzionu,M5,F,S0,2,penzionu My se bojíme že v řece nebude voda když se tam postaví přehrada a samozřejmě přestanou jezdit turisté nehledě na to že tam nebudou ryby a raci.
2012E021T030,Ondřej MONDEK,soused majitel pozemků v okolí,M2,M,S0,2,majitel pozemků v okolí penzionu Podle mě to je úplný nesmysl jako jeden z mála nedotčených kousků přírody tady v kraji a najednou tady začnou stavět vodní plochu.
2012E021T030,Veronika KORCHOVÁ,starostka,M6,F,S0,2,Benešova nad Černou Každá přehrada pro obec Benešov je ohrožující protože v roce 2002 praskla Sovinovská přehrada a Tiž.
2012E021T030,Karel VLASÁK,radní,M6,M,S0,1,Jihočeského kraje Tento konkrétní případ opravdu není případem nejbližšího desetiletí.
2012E021T030,Zdeněk ZÍDEK,ředitel,M5,M,S0,2,Povodí Vltavy závod Horní Vltava Jestliže nebudeme mít dos vody v akumulaci tak nám nikdo nepomůže.
2012E017T099,Martin LUDVÍK,ředitel,M5,M,SKIP,3,Ovocnářská unie ČR Dobrý večer.
2012E039A068,Valerij LUKIN,vědec,M3,M,S0,2,Institut pro výzkum Arktidy a Antarktidy v Petrohradě Takové organismy byly hodně dlouho bez kontaktu s ovzduším a bez slunečního světla.
2012E038A080,Jan PAPEŽ,místopředseda,M6,M,S0,1,Asociace cestovních kanceláří Turisté jsou rozprostřeni na malých ostrůvcích které jsou izolované od těch událostí které se dějí.
2012E038A080,Ondřej ZDERADIČKA,delegát českých cestovních kanceláří,M5,M,S0,2,českých cestovních kanceláří Těch turistů se to absolutně nedotýká tady je to víceméně místní záležitost. V tuhle chvíli co turistům tady reálně hrozí je to že zmoknou protože se tady trošku zatahuje.
2012E038A080,Muhammad NAŠÍD,odstupující prezident,M6,M,S0,2,prezident Malediv Rezignuji na svou funkci prezidenta. Přeji všem lepší budoucnost. Nikdy jsem nevěřil že je možné setrvat v úřadu silou.
2012E059T088,Alessandro VITELLI,hlavní expert agentury,M5,M,S5,2,expert agentury Bloomberg pro trhy s emisemi Ceny nejsou příliš vysoké to je pravda. Jsou na jedné z nejnižších úrovní na jaké kdy byly. Hans BERGMAN Generální ředitelství EK pro boj s klimatickými změnami Musíme to respektovat ale v dlouhodobém horizontu jsme přesvědčeni že se trh ustálí a pomůže snížit emise CO2.
2012E059T088,Jan FOUSEK,obchodní ředitel,M5,M,S5,2,ředitel Virtuse Energy Z českých firem by na tom mohly vydělat například cementárny ocelárny cihelny které dostanou v roce 2013 většinu svých povolenek zdarma.
2012E059T088,Alan SVOBODA,obchodní ředitel,M5,M,S5,2,ředitel ČEZ Cena povolenek roste tím pádem se vrací zpátky ta motivace měnit zařízení šetřit.
2012E047T084,Pavel ZÁMYSLICKÝ,ředitel odboru změny klimatu,M5,M,S6,2,odboru změny klimatu Ministerstvo životního prostředí ČR Já si myslím že není možné aby v tom systému byly zařazeny jenom letecké firmy z Evropy. Je tam nutné aby tam byly zařazeny všechny firmy to znamená jak evropské tak mimoevropské.
2012E047T084,Andreas CARLGREN,bývalý ministr životního prostředí,M6,M,S0,2,ministr životního prostředí Švédsko Podle mě to je víc o politice než o ekonomice protože Čínu by to zas tolik nestálo. Čína chce hlavně ukázat Evropě že má velkou sílu.
2012E044T127,Peter KEREKES,režisér,M2,M,SKIP,3,Já bych řekl že to je taková historicko filozofická groteska. Není to taková sranda pro srandu ale zároveň to není ani takové nudné rozjímání nad dějinami.
2012E044T127,Eva VOJTOVÁ,scénáristka,M2,F,SKIP,3,My jsme se toho nedrželi. To znamená v některých dílech to odpovídá ale v některých dílech jsme opravdu popustili uzdu fantazii a spíš je to kontrast mezi tím co říká historik a co my jsme předložili jako naši alternativu.
2012E089A015,Rajendra PACHAURI,předseda klimatického panelu,M6,F,S6,3,klimatického panelu OSN Když uděláte projekci do budoucnosti zjistíte že vlny veder které se v současné době objevily jednou za 20 let budou přicházet do konce tohoto století jednou za 2 roky. redaktorka V důsledku emisí oxidu uhličitého a dalších chemikálií nahromaděných v atmosféře mají být extrémy počasí četnější a závažnější. Podle klimatologů může k přírodním katastrofám jako jsou záplavy nebo sucha do konce 21. století docházet v nevídaných cyklech.
2012E088T039,Jana ZÁHORKOVÁ,vedoucí kulturní redakce iDNES,M5,F,SKIP,3,kulturní redakce iDNES.cz Já si myslím že ona si v podstatě negativní reklamu která je tou nejúčinnější zase zpátky nalákala lidi kteří dlouho na to čekali a možná ty kteří si zase říkali co vymyslí.
2012E088T039,František SOUKUP,kapelník,M2,M,SKIP,3,Nightwork Je fakt že my jsme typicky skupina která vylítla přes Internet přes YouTube až následně se s náma začali vlastně zpětně všichni bavit.
2012E088T039,Petr KUNEŠ,manažer,M5,M,SKIP,3,Youtube Czech Republic Ti kteří obsah do YouTube dodávají tak ho záměrně dávají kontroverzní aby vyvolali právě větší počet návštěv.
2012E082T085,Luděk LISTÍK,majitel studny,M5,M,SKIP,3,studny Nemusíte šetřit ani se nějak zajímat o cenu která se okolo pořád zvedá. Je to taková investice do budoucna i pro další generaci.
2012E082T085,Petr ČÍŽEK,hydrolog,M3,M,SKIP,3,Odhad je několik set v republice. Z toho z toho spousta z nich vlastně vůbec ani prostě to nedělá dá se říct legálně.
2012E082T085,Žaneta HUDOKOVÁ,obyvatelka,M2,F,SKIP,3,Košařisek Pokud tady chceme bydlet a postavit si baráček tak nás nic jiného teda nemine než udělat právě ten vrt.
2012E082T085,Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M6,M,S0,3,ředitel sekce vodního hospodářství MZE Dobrý večer.
2012E072T015,Andreas CARLGREN,švédský ministr životního prostředí,M6,M,S0,2,ministr životního prostředí 16. 2. 2012 Podle mě je to víc o politice než o ekonomice. Protože Čínu by to zase tolik nestálo. redaktor To si zatím myslí i unijní úředníci. O změně kritizovaného opatření zatím neuvažují.
2012E067T087,Martin HÁJEK,ředitel,M5,M,S0,3,Teplárenské sdružení ČR Dobrý večer.
2012E067T087,Vojtěch KOTECKÝ,programový ředitel,M5,M,S6,2,ředitel Hnutí DUHA Studio 6 14.2.2012 Průmyslové podniky přestanou mít tak silnou motivaci investovat do českých technologií vyčistit výrobu a zajistit aby byl menší smog hlavně v nejhůře postižených částech státu.
2012E067T087,Jan BUREŠ,poslanec,M6,M,S6,2,ODS Události komentáře 10.2.2012 Já jsem vycházel z toho že právě od roku 2016 má začít platit implementace Evropské směrnice o průmyslových emisích která ukládá že podniky ale především teplárny by měly mít zajištěny nejlepší dostupné technologie na trhu a souběžně s tím by pak ale platily i poplatky a to je věc která by byla v Evropě nevídaná.
2012E067T087,Radim ŠRÁM,předseda,M6,M,S2,2,Komise pro životní prostředí AV ČR Já bych měl úvodem jednu poznámku že když jsem poslouchal pana Hájka jak ukazoval ten kruhový graf na začátku že mi to připomnělo Winsona Churchila s jeho poznámkou že věří pouze těm statistikám které si sám zfalšuje chtěl bych říct že to je něco podobného protože my víte že zejména když se jedná Moravskoslezský kraj a průmyslové oblasti Ostravska ta tady se bavit o vlivu lokálních topenišť z tohoto hlediska je absolutní nepravda. Tam máte kality je dna k je potřeba říci že jen to rozdíl v koncentracích jemných prachových částic a potom na ně vázaných karcinogenních polycyklických aromatických uhlovodíků jako je benzoapyren a tyto látky opravdu jsou to znečištění opravdu z průmyslu v některých lokalitách jako Ostravě Bártovicích je to 50 ale domnívám se že třeba v Porubě je to 50 60 a něco podobného může být také jak se ptal ten posluchač z toho Havířova. Takže já to vyvinění tepláren z těch poplatků považuji za velmi škodlivé protože smysl těch poplatků je v tom aby to výrobce přinutilo modernizovat zatímco pokud se ty poplatky platit nebudou tak se bude pracovat se starými technologiemi a to znečištění bude čím dál tím horší.
2012E092A007,Jaromír KUBŮ,kasteálán,M5,M,SKIP,3,Karlštejn Taková první úvaha byla že připomenu karlštejnským občanům jak se na hrad Karlštejn dívali před rokem 89 kdy neexistovalo žádné venkovní osvětlení.
2012E092A007,Yvonna GAILLYOVÁ,ředitelka,M5,F,S6,2,Ekologického institutu Veronica Velmi často se svítí zbytečně na ulicích osvětlují se památky neúčelně. redakce V Karlových Varech na hodinu zhasly kolonády celé město se ale k akci nepřipojilo.
2012E092A007,Petr KULHÁNEK,primátor,M6,M,S0,3,Karlových Varů KOA Celoplošně vypnutí veřejného osvětlení je rizikové z hlediska bezpečnosti.
2012E146T095,Ivo ANDRLE,ředitel,M5,M,S6,2,Aerofilms Film Urbanized nás zaujal velice tím že vlastně ukazuje pozitivní pozitivní příklady městské architektury pozitivní řešení které se po světě různě objevily. redaktor Třeba bezpečné cyklostezky v Kodani nové bydlení v chudinských čtvrtích na předměstí měst v Latinské Americe nebo využití newyorské nadzemní dráhy která před necelým stoletím New York rozdělila a dnes už se nepoužívá.
2012E146T095,Martin BARRY,architekt ředitel festivalu reSITE,M5,M,S6,2,ředitel festivalu reSITE Město musí být svěží a kreativní aby přežilo aby bylo konkurenceschopné. To znamená že potřebuje stromy na ulicích parky nábřeží postavené tak aby si je lidé užili. To také pomáhá ekonomickému růstu. redaktor Podle Martina Barryho zažil New York velký zlom v roce 1858 architekt Frederick Law Olmsted se ukázal jako vizionář navrhl Centrální park. Tři a půl kilometru čtverečních zeleně a vody v samém srdci Manhattanu. Kdyby dnes budoucnost New Yorku kreslil Barry voda by alespoň v jednom pro něj nejdůležitějším projektu hrála hlavní roli.
2012E145T061,Václav KLAUS,prezident republiky,M6,M,S3,3,republiky Nechceme li český průmysl pohřbít vysokými cenami energií musíme se rozloučit s nerealistickými sny o vysokém podílu takzvaných obnovitelných zdrojů energie na jejich celkové na její celkové spotřebě.
2012E129T007,Jane GOODALLOVÁ,britská primatoložka,M3,F,S0,3,primatoložka Moje mysl se především zaobírala snem protože mívám obvykle velmi živé sny. V tomhle případě jsem byla v podivném příbytku na safari myslím že to bylo v Africe. Byla tam různá zvířata takže jsem rozhodně byla v jiném světě.
2012E125T071,Jane GOODALLOVÁ,britská primatoložka,M3,F,S0,3,primatoložka Moje mysl se především zaobírala snem protože mívám obvykle velmi živé sny. V tomhle případě jsem byla v podivném příbytku na safari myslím že to bylo v Africe. Byla tam různá zvířata takže jsem rozhodně byla v jiném světě.
2012E170T101,Antonis SAMARAS,lídr,M6,M,S0,3,Nové demokracie Dnes Řekové ukázali že chtějí zůstat zakotveni v euru. Je to vítězství celé Evropy.
2012E170T101,Panos TSAKLOGLU,profesor ekonomie,M3,M,S0,3,ekonomie Athénská univerzita Pokud se SYRIZA bude chovat v opozici jako dosud vyvolá opět silné nepokoje. To by mohlo vést k pádu vlády.
2012E170T101,Mirto KIRUSIOVÁ,nezaměstnaná,M2,F,S0,3,Jsme realisti nečekáme zázraky ale teď máme naději.
2012E193A088,Čang KCHAJ PO,napadený,M2,M,S0,3,Viděl jsem 3 ryby vůbec se nebály. Cákl jsem na ně ale jedna se mi zakousla do ruky. Vyhodil jsem ji na břeh.
2012E193A088,Wej JUNG WEN,ředitel,M5,M,S0,3,Úřadu pro rybolov a zemědělství Liou čou V řece zatím nikdo žádnou piraňu nechytil. Nevíme kolik jich tady je ale zřejmě hodně.
