name,role_raw,type_llm
Jane GOODALLOVÁ,britská primatoložka,M3
Adolf ŠLÁR,praktikuje očistné kúry učitel z,M4
Vilma PARTYKOVÁ,propaguje hladovku a léčbu urinoterapií,M4
Miloš MENDEL,arabista islamolog,M3
Kateřina CAJTHAMLOVÁ,internistka psychoterapeutka odbornice na výživu,M3
Michaela VALACHOVÁ,hydrometeoroložka,M3
Martin PAVEL,zpracovatel studie kanálu,M1
Martin TOPINKA,astrofyzik,M3
Hynek BLAŠKO,generálmajor ve výslužbě,M6
Ladislav MACHALA,infekcionista infekční klinika,M3
Pavel PUNČOCHÁŘ,sekce vodního hospodářství,M5
Václav BĚLOHRADSKÝ,filosof a sociolog,M3
Traian URBAN,hispanista,M3
Pavel PODRUH,laureát ceny,M2
Martin LEIŠ,spolumajitel penzionu na,M5
Ivanna ILLYENKO,emeritní sólistka baletu,M2
Jaroslav ŠTEFEC,exředitel,M5
Martin KLOZ,konzultant v oblasti energetiky,M5
Ondřej HEJMA,amerikanista publicista hudebník,M1
Barbara WINTONOVÁ,dcera,M2
Milan KNÍŽÁK,výtvarník bývalý ředitel,M2
Lubomír HAŠLÍK,operující lékař,M3
Pavel KALENDA,seismolog a klimaskeptik,M3
Pavel KRČ,oddělení složitých systémů,M5
Petra JELÍNKOVÁ,předkladatelka aktivistka hnutí,M5
Tomáš HAAS,politický konzultant bývalý poradce,M5
Vladimír BAAR,politický a kulturní geograf,M3
Petr PITHART,expremiér bývalý předseda,M6
Zbyněk HRKAL,hydrogeolog,M3
Tomáš HRNČÍŘ,motoristický novinář,M1
Lesy ČR,živě,SKIP
Martin MARGOLD,geomorfolog,M3
Martina JURIGOVÁ,zdravotní sestra,M2
Daniel PITEK,soukromý sedlák a lesník,M2
Vítězslav KREMLÍK,překladatel klimaskeptik z,M4
Dana FEMINOVÁ,organizace,M5
Tomáš HAAS,politický konzultant publicista,M1
Pavel PAFKO,emeritní přednosta,M6
Ota MACHÁČEK,výčepní restaurace,M2
Tomáš NAHODIL,advokát,M5
Věra JOUROVÁ,eurokomisařka,M6
Aleš FARDA,oddělení klimatického modelování,M3
Karel SCHWARZENBERG,čestný předseda strany,M6
Pavel PUNČOCHÁŘ,vrchní ředitel sekce vodního hospodářství,M6
Jakub LUDVÍK,umělecký fotograf fotí modelky do,M2
Marcela VLADAŘOVÁ,k anorexii ji přivedl zdravý,SKIP
Ondřej JONÁŠ,investiční bankéř,M5
Slavomír GOGA,chargé d affaires v,M6
Greta THUNBERGOVÁ,švédska ekologická aktivistka,M5
Barbora CHATTOVÁ,algoložka,M3
Tomáš NEŘOLD,pověřen vedením samostatného oddělení,SKIP
Libor JANEČKA,pěstitel brambor,M2
Martin KUBA,jihočeský hejtman a předseda,M6
Karel KOVÁŘ,alias,SKIP
Linda NEDBALOVÁ,hydrobioložka,M3
Petr ŠTĚPÁNEK,exstarosta a zastupitel,M6
Martin BARRY,architekt ředitel festivalu reSITE,M5
Miloš VONDRUŠKA,pražský včelař,M2
Kristina LARISCHOVÁ,generální konzulka,M6
Karel DRBAL,hydrogeolog,M3
Petr LEYER,právník,M5
Františka ČÍŽKOVÁ,módní kritička,M1
Miroslava NERADOVÁ,organizátorka petice proti zákazu kouření,M5
Pavel PUNČOCHÁŘ,sekce vodního hospodářství ministerstvo zemědělství,M6
Hnutí DUHA,jejich výzvu podepsalo,SKIP
Nemeškalová ROSINOVÁ,právnička,M5
Petr MÁRA,youtuber,M2
Jan KRAJHANZL,sociální a environmentální psycholog,M3
Josef SOUKUP,agroekolog fakulta agrobiologie,M3
Ivan HLADÍK,pracuje se seniory,M2
Andrej BABIŠ,český premiér,M6
Bronislav BECHNÍK,redakce obnovitelných energií,M1
Pavel PUNČOCHÁŘ,vrchní rada sekce vodního hospodářství,M6
Zdeněk KALVACH,geriatr předseda správní rady,M3
Zdeněk ŽALUD,pedagog a vědec,M3
Martin SALAJKA,letecký publicista,M1
Josef HÁJEK,odborný asistent,M3
Jan RŮŽIČKA,mikrobiolog,M5
Kateřina OSIČKOVÁ,týmová lídryně dobrovolníci organizace,M2
Jiří SLOVÁČEK,hraboši poškozený zemědělec ze,M5
Petr HAVEL,zemědělský analytik,M5
Katrín JAKOBSDÓTTIROVÁ,islandská premiérka,M6
Lukáš KAUCKÝ,český velvyslanec v,M6
David ČERNÝ,etik filozof,M3
Tomáš POSPÍŠIL,pověřený řízením podniku,M5
Brna ODS,živě,SKIP
Petr HRADECKÝ,vulkanolog geolog,M3
Donald TRUMP,zvolený prezident,M6
Kovy KOVÁŘ,youtuber,M2
Joko WIDODO,indonéský prezident,M6
Karolína FARSKÁ,organizátorka iniciativy,M5
Jan VEVERA,přednosta,M6
