year,Code,income,n_docs,n_mentions
2012,CZE,High income,1,1
2012,USA,High income,1,1
2013,CZE,High income,3,3
2013,DEU,High income,1,1
2013,ESP,High income,1,1
2013,FRA,High income,1,1
2013,ITA,High income,1,1
2013,QAT,High income,1,1
2013,TUR,Upper middle income,1,1
2013,USA,High income,1,1
2014,SAU,High income,6,6
2014,USA,High income,4,4
2014,CZE,High income,3,3
2014,BGR,Upper middle income,1,1
2014,CHE,High income,1,1
2014,PSE,Upper middle income,1,1
2015,CZE,High income,21,21
2015,KOR,High income,18,18
2015,SVK,High income,7,7
2015,SAU,High income,5,5
2015,USA,High income,4,4
2015,BHR,High income,3,3
2015,MEX,Upper middle income,3,3
2015,QAT,High income,3,3
2015,AUS,High income,2,2
2015,AUT,High income,2,2
2015,BEL,High income,2,2
2015,CHN,Upper middle income,2,2
2015,DEU,High income,2,2
2015,GBR,High income,1,1
2015,MYS,Upper middle income,1,1
2015,PHL,Lower middle income,1,1
2015,POL,High income,1,1
2015,RUS,Upper middle income,1,1
2017,CZE,High income,4,4
2017,GBR,High income,1,1
2017,USA,High income,1,1
2018,CZE,High income,5,5
2018,USA,High income,2,2
2018,DEU,High income,1,1
2019,CZE,High income,7,7
2019,DEU,High income,3,3
2019,CHL,High income,2,2
2019,ESP,High income,2,2
2019,RUS,Upper middle income,2,2
2019,USA,High income,2,2
2019,AUT,High income,1,1
2019,CAN,High income,1,1
2019,EST,High income,1,1
2019,FIN,High income,1,1
2019,GBR,High income,1,1
2019,HKG,High income,1,1
2019,IRN,Lower middle income,1,1
2019,ITA,High income,1,1
2019,KOR,High income,1,1
2019,MDA,Upper middle income,1,1
2019,NZL,High income,1,1
2019,PRK,Low income,1,1
2019,SAU,High income,1,1
2019,SWE,High income,1,1
2019,SYR,Low income,1,1
2019,TUR,Upper middle income,1,1
2019,ZAF,Upper middle income,1,1
2020,CZE,High income,10855,10855
2020,DEU,High income,1729,1729
2020,USA,High income,1583,1583
2020,ITA,High income,1109,1109
2020,GBR,High income,1024,1024
2020,AUT,High income,978,978
2020,CHN,Upper middle income,928,928
2020,SVK,High income,918,918
2020,POL,High income,804,804
2020,ESP,High income,785,785
2020,FRA,High income,765,765
2020,RUS,Upper middle income,536,536
2020,HUN,High income,348,348
2020,JPN,High income,337,337
2020,GRC,High income,308,308
2020,HRV,High income,284,284
2020,SWE,High income,228,228
2020,BRA,Upper middle income,220,220
2020,ISR,High income,200,200
2020,BEL,High income,194,194
2020,TUR,Upper middle income,164,164
2020,KOR,High income,163,163
2020,CHE,High income,162,162
2020,DNK,High income,140,140
2020,AUS,High income,127,127
2020,ROU,High income,118,118
2020,NLD,High income,113,113
2020,BGR,Upper middle income,108,108
2020,IND,Lower middle income,107,107
2020,TWN,High income,106,106
2020,IRL,High income,98,98
2020,HKG,High income,91,91
2020,SRB,Upper middle income,91,91
2020,SVN,High income,90,90
2020,BLR,Upper middle income,81,81
2020,FIN,High income,79,79
2020,IRN,Lower middle income,79,79
2020,NOR,High income,78,78
2020,UKR,Lower middle income,72,72
2020,CAN,High income,65,65
2020,SAU,High income,57,57
2020,DMA,Upper middle income,53,53
2020,MEX,Upper middle income,49,49
2020,LVA,High income,46,46
2020,EST,High income,45,45
2020,CUB,Upper middle income,37,37
2020,EGY,Lower middle income,37,37
2020,CYP,High income,36,36
2020,NZL,High income,36,36
2020,PER,Upper middle income,36,36
2020,SYR,Low income,33,33
2020,LTU,High income,32,32
2020,PHL,Lower middle income,30,30
2020,CHL,High income,28,28
2020,PRT,High income,27,27
2020,MNE,Upper middle income,26,26
2020,IRQ,Upper middle income,24,24
2020,LBN,Lower middle income,24,24
2020,PRK,Low income,23,23
2020,SGP,High income,23,23
2020,AFG,Low income,21,21
2020,PSE,Upper middle income,20,20
2020,MKD,Upper middle income,17,17
2020,TUN,Lower middle income,16,16
2020,MLT,High income,15,15
2020,THA,Upper middle income,15,15
2020,LUX,High income,14,14
2020,VNM,Lower middle income,14,14
2020,ISL,High income,13,13
2020,BHR,High income,12,12
2020,MLI,Low income,12,12
2020,ARG,Upper middle income,10,10
2020,LBY,Upper middle income,10,10
2020,SLV,Upper middle income,10,10
2020,ARE,High income,9,9
2020,MAC,High income,9,9
2020,VAT,Unknown,9,9
2020,IDN,Upper middle income,8,8
2020,MNG,Lower middle income,8,8
2020,MYS,Upper middle income,8,8
2020,GEO,Upper middle income,7,7
2020,KWT,High income,7,7
2020,MAR,Lower middle income,7,7
2020,QAT,High income,7,7
2020,YEM,Low income,7,7
2020,ALB,Upper middle income,6,6
2020,ARM,Upper middle income,6,6
2020,COD,Low income,6,6
2020,KHM,Lower middle income,6,6
2020,PAK,Lower middle income,6,6
2020,VEN,Unknown,6,6
2020,ZAF,Upper middle income,6,6
2020,AZE,Upper middle income,5,5
2020,COL,Upper middle income,5,5
2020,HTI,Lower middle income,5,5
2020,XKX,Upper middle income,5,5
2020,BGD,Lower middle income,4,4
2020,BIH,Upper middle income,4,4
2020,ETH,Low income,4,4
2020,MDA,Upper middle income,4,4
2020,NGA,Lower middle income,4,4
2020,BOL,Lower middle income,3,3
2020,DOM,Upper middle income,3,3
2020,JOR,Lower middle income,3,3
2020,MUS,Upper middle income,3,3
2020,BLZ,Upper middle income,2,2
2020,ECU,Upper middle income,2,2
2020,FRO,High income,2,2
2020,GIN,Lower middle income,2,2
2020,IMN,High income,2,2
2020,LKA,Lower middle income,2,2
2020,MCO,High income,2,2
2020,MMR,Lower middle income,2,2
2020,NIC,Lower middle income,2,2
2020,OMN,High income,2,2
2020,SMR,High income,2,2
2020,SOM,Low income,2,2
2020,SYC,High income,2,2
2020,TZA,Lower middle income,2,2
2020,UZB,Lower middle income,2,2
2020,ZMB,Lower middle income,2,2
2020,CIV,Lower middle income,1,1
2020,CMR,Lower middle income,1,1
2020,DZA,Lower middle income,1,1
2020,GMB,Low income,1,1
2020,GNQ,Upper middle income,1,1
2020,GRL,High income,1,1
2020,GUM,High income,1,1
2020,KAZ,Upper middle income,1,1
2020,KEN,Lower middle income,1,1
2020,LIE,High income,1,1
2020,MDG,Low income,1,1
2020,MDV,Upper middle income,1,1
2020,MSR,Unknown,1,1
2020,MWI,Low income,1,1
2020,NAM,Upper middle income,1,1
2020,NER,Low income,1,1
2020,NPL,Lower middle income,1,1
2020,PAN,High income,1,1
2020,PNG,Lower middle income,1,1
2020,RWA,Low income,1,1
2020,SDN,Low income,1,1
2020,SLE,Low income,1,1
2020,STP,Lower middle income,1,1
2020,TCD,Low income,1,1
2020,URY,High income,1,1
2020,ZWE,Lower middle income,1,1
2021,CZE,High income,8295,8295
2021,DEU,High income,1373,1373
2021,GBR,High income,1182,1182
2021,USA,High income,1063,1063
2021,SVK,High income,868,868
2021,AUT,High income,823,823
2021,RUS,Upper middle income,796,796
2021,POL,High income,599,599
2021,FRA,High income,562,562
2021,CHN,Upper middle income,425,425
2021,HUN,High income,350,350
2021,ITA,High income,350,350
2021,ESP,High income,331,331
2021,ISR,High income,267,267
2021,GRC,High income,232,232
2021,IND,Lower middle income,217,217
2021,JPN,High income,194,194
2021,HRV,High income,188,188
2021,DNK,High income,187,187
2021,CUB,Upper middle income,176,176
2021,CHE,High income,166,166
